project,session,started,role_n,role,turns,output_tokens,thinking_tokens,new_input_tokens,cache_read_tokens,billable_tokens
Developer-bugarach,74de1c4b-4a86-4e59-9bfe-d950aadd4d0a,2026-08-14T17:20:36.585Z,,,86,40362,20131,508764,9379755,565756
Developer-bugarach,74de1c4b-4a86-4e59-9bfe-d950aadd4d0a,2026-08-14T17:20:36.585Z,,,23,14864,7306,102605,672486,117515
Developer-bugarach,74de1c4b-4a86-4e59-9bfe-d950aadd4d0a,2026-08-14T17:20:36.585Z,,,59,41565,22785,303008,4738286,344691
Developer-bugarach,74de1c4b-4a86-4e59-9bfe-d950aadd4d0a,2026-08-14T17:20:36.585Z,,,33,34756,23470,157996,1110072,192818
Developer-bugarach,74de1c4b-4a86-4e59-9bfe-d950aadd4d0a,2026-08-14T17:20:36.585Z,,,37,18873,10636,231729,1540235,259436
Developer-bugarach,74de1c4b-4a86-4e59-9bfe-d950aadd4d0a,2026-08-14T17:20:36.585Z,,,54,21857,11582,257048,3181921,279013
Developer-bugarach,74de1c4b-4a86-4e59-9bfe-d950aadd4d0a,2026-08-14T17:20:36.585Z,,,59,37420,25857,485521,5529362,523059
Developer-bugarach,74de1c4b-4a86-4e59-9bfe-d950aadd4d0a,2026-08-14T17:20:36.585Z,,,78,42811,23383,349334,6744897,407077
Developer-bugarach,74de1c4b-4a86-4e59-9bfe-d950aadd4d0a,2026-08-14T17:20:36.585Z,,,28,17419,9409,134566,908824,152041
Developer-bugarach,74de1c4b-4a86-4e59-9bfe-d950aadd4d0a,2026-08-14T17:20:36.585Z,,,59,25177,15498,191419,2832046,221535
Developer-bugarach,74de1c4b-4a86-4e59-9bfe-d950aadd4d0a,2026-08-14T17:20:36.585Z,,,12,11975,6090,66102,235738,78101
Developer-bugarach,0d964231-6072-4d10-a0d4-8233783388b2,2026-08-17T22:02:42.791Z,,,15,11249,10020,112024,352952,123301
Developer-bugarach,0d964231-6072-4d10-a0d4-8233783388b2,2026-08-17T22:02:42.791Z,,,37,7933,3377,246735,1607133,254740
Developer-bugarach,0d964231-6072-4d10-a0d4-8233783388b2,2026-08-17T22:02:42.791Z,,,28,12287,8233,164682,1049463,177023
Developer-bugarach,0d964231-6072-4d10-a0d4-8233783388b2,2026-08-17T22:02:42.791Z,,,12,6138,5234,68413,254152,74573
Developer-bugarach,0d964231-6072-4d10-a0d4-8233783388b2,2026-08-17T22:02:42.791Z,,,8,11590,10894,67018,136235,78622
Developer-bugarach,0d964231-6072-4d10-a0d4-8233783388b2,2026-08-17T22:02:42.791Z,,,18,5949,619,91038,445780,97021
Developer-bugarach,0d964231-6072-4d10-a0d4-8233783388b2,2026-08-17T22:02:42.791Z,,,40,7277,2339,218833,1929653,230748
Developer-bugarach,0d964231-6072-4d10-a0d4-8233783388b2,2026-08-17T22:02:42.791Z,,,37,7568,4299,128325,1302276,165005
Developer-bugarach,0d964231-6072-4d10-a0d4-8233783388b2,2026-08-17T22:02:42.791Z,,,37,5346,1656,199539,1500447,204957
Developer-bugarach,0d964231-6072-4d10-a0d4-8233783388b2,2026-08-17T22:02:42.791Z,,,20,4068,1576,138757,569496,142863
Developer-bugarach,0d964231-6072-4d10-a0d4-8233783388b2,2026-08-17T22:02:42.791Z,,,32,15694,12469,222160,1635340,237916
Developer-colonel-kernel,e7eea5eb-f956-4d95-9228-73c3d1c46291,2026-08-22T21:12:02.482Z,,,22,12323,6353,108699,721709,121066
Developer-colonel-kernel,e7eea5eb-f956-4d95-9228-73c3d1c46291,2026-08-22T21:12:02.482Z,,,49,19248,9285,112101,2086312,131447
Developer-colonel-kernel,e7eea5eb-f956-4d95-9228-73c3d1c46291,2026-08-22T21:12:02.482Z,,,41,21627,10486,161720,1601139,183429
Developer-colonel-kernel,e7eea5eb-f956-4d95-9228-73c3d1c46291,2026-08-22T21:12:02.482Z,,,54,23463,11729,203964,2794512,227535
Developer-colonel-kernel,e7eea5eb-f956-4d95-9228-73c3d1c46291,2026-08-22T21:12:02.482Z,,,38,18625,10495,144814,1505312,163515
Developer-colonel-kernel,e7eea5eb-f956-4d95-9228-73c3d1c46291,2026-08-22T21:12:02.482Z,,,36,14757,6625,103380,1337047,118209
Developer-colonel-kernel,e7eea5eb-f956-4d95-9228-73c3d1c46291,2026-08-22T21:12:02.482Z,,,34,14670,7893,138568,1284650,153306
Developer-colonel-kernel,e7eea5eb-f956-4d95-9228-73c3d1c46291,2026-08-22T21:12:02.482Z,,,91,34101,15415,273545,5076396,307828
Developer-colonel-kernel,e7eea5eb-f956-4d95-9228-73c3d1c46291,2026-08-22T21:12:02.482Z,,,71,42532,10822,178006,4579641,220680
Developer-colonel-kernel,e7eea5eb-f956-4d95-9228-73c3d1c46291,2026-08-22T21:12:02.482Z,,,39,11699,4430,88697,1331614,100474
